customer_id,existing_customer,revenue_2015,revenue_2016,revenue_2017,year,total customers
1,hxshgpdxtr@gmail.com,180.59,217.35,178.1,2015,231294
2,gipqsrvngd@gmail.com,122.71,156.06,172.9,2016,204646
3,,246.79,113.27,8.78,2017,249987
4,tcxbzksocq@gmail.com,79.72,162.06,126.54,,
5,nfyvvsbdpy@gmail.com,187.65,223.2,209.39,,
6,xyepkoqbfk@gmail.com,125.37,192.89,38.74,,
7,hintjfrhht@gmail.com,84.41,216.46,28.45,,
8,vvqujrajxr@gmail.com,212.66,233.94,22.01,,
9,tmszhbybvl@gmail.com,120.67,17.84,115.21,,
10,dpaqajhzae@gmail.com,137.47,170.18,115.62,,
11,nsdaadrtpt@gmail.com,217.55,236.5,53.62,,
12,onfwpseaej@gmail.com,234.72,145.62,225.02,,
13,xfbbujzceq@gmail.com,237.01,122.42,71.4,,
14,rfrszmpqhw@gmail.com,185.58,176.7,228.89,,
15,qbehnpvruw@gmail.com,210.47,51.35,14.98,,
16,fucxeeijrh@gmail.com,125.46,29.1,207.72,,
17,vvgftnehgs@gmail.com,210.79,214.17,24.55,,
18,peamjuzvbp@gmail.com,100.71,43.94,54.16,,
19,kghhyvlntq@gmail.com,204.22,27.82,32.72,,
20,zwppqlqqms@gmail.com,114.5,62.48,97.66,,
21,lsxhhttoeo@gmail.com,9.82,109.98,57.66,,
22,wgnrlklbad@gmail.com,55.62,232.26,226.09,,
23,xdxiyzjrdy@gmail.com,86.28,16.07,100.35,,
24,byuvjxzokl@gmail.com,21.2,174.68,74.75,,
25,yyzmqzauxs@gmail.com,28.66,185.24,187.02,,
26,ncrtxqtpvs@gmail.com,113.95,244.82,244.19,,
27,gabbpvlmor@gmail.com,136.14,245.29,14.7,,
28,yugkdamptz@gmail.com,112.65,11.13,149.88,,
29,cwkjwqthuy@gmail.com,22.81,193.08,12.9,,
30,mgpakdvfwz@gmail.com,32.46,91.71,238.89,,
31,etylatcsad@gmail.com,55.7,76.8,231.6,,
32,kqsklcbhss@gmail.com,6.44,142.52,185.97,,
33,wlwxjokmof@gmail.com,72.45,219.88,196.06,,
34,qskxqleccy@gmail.com,227.11,40.4,183.86,,
35,xkzuamrrlh@gmail.com,146.9,14.59,115.86,,
36,fpasuwwtbo@gmail.com,111,141.58,43.78,,
37,lxlmfczneb@gmail.com,52.78,48.18,4.13,,
38,upjepueccp@gmail.com,68.53,59.35,33.57,,
39,cwzrcphahf@gmail.com,27.3,154.64,105.78,,
40,ujiyuddjux@gmail.com,208.71,234.12,90.11,,
41,hzhgoipjzh@gmail.com,245.48,213.8,246.67,,
42,nuacltcpbk@gmail.com,238.78,66.71,209.05,,
43,wugtgypryw@gmail.com,22.75,231.61,78.4,,
44,jidfhiqlzn@gmail.com,144.69,35.91,178.09,,
45,zubdkebuzi@gmail.com,46.13,162.35,189.15,,
46,jpizhaxbbh@gmail.com,47.13,42.8,186.35,,
47,jmtgwfkqxp@gmail.com,64.27,162.22,157.32,,
48,ivtxjdznjo@gmail.com,63.63,29.84,122.46,,
49,sfumvgermn@gmail.com,157.62,121.39,200.44,,
50,mkfdjcwvzx@gmail.com,131.02,122.42,183.07,,
